Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,FileImage
Occurrence,T131,,,None,T131,None,None,None,None,"<a href=/taxonomy/term/10649"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus pratensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/698"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T131%20Pratylenchus%20pratensis.zip,./Output/039-T131%20Pratylenchus%20pratensis.zip
Occurrence,T132,,,None,T132,None,None,None,None,"<a href=/taxonomy/term/10646"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus penetrans</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/571"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T132%20Pratylenchus%20penetrans.zip,./Output/040-T132%20Pratylenchus%20penetrans.zip
Occurrence,T133,,,None,T133,None,None,None,None,"<a href=/taxonomy/term/10654"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus crenatus</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/660"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T133%20Pratylenchus%20crenatus.zip,./Output/041-T133%20Pratylenchus%20crenatus.zip
Occurrence,T143,,,None,T143,None,None,None,None,"<a href=/taxonomy/term/10646"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus penetrans</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/572"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T143%20Pratylenchus%20penetrans.zip,./Output/042-T143%20Pratylenchus%20penetrans.zip
Occurrence,T144,,,None,T144,None,None,None,None,"<a href=/taxonomy/term/10646"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus penetrans</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/573"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T144%20Pratylenchus%20penetrans.zip,./Output/043-T144%20Pratylenchus%20penetrans.zip
Occurrence,T145,,,None,T145,None,None,None,None,"<a href=/taxonomy/term/10646"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus penetrans</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/574"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T145%20Pratylenchus%20penetrans.zip,./Output/044-T145%20Pratylenchus%20penetrans.zip
Occurrence,T148,,,None,T148,None,None,None,None,"<a href=/taxonomy/term/10649"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus pratensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/699"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T148%20Pratylenchus%20pratensis.zip,./Output/045-T148%20Pratylenchus%20pratensis.zip
Occurrence,T149,,,None,T149,None,None,None,None,"<a href=/taxonomy/term/10649"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus pratensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/700"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T149%20Pratylenchus%20pratensis.zip,./Output/046-T149%20Pratylenchus%20pratensis.zip
Occurrence,T150,,,None,T150,None,None,None,None,"<a href=/taxonomy/term/10649"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus pratensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/701"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T150%20Pratylenchus%20pratensis.zip,./Output/047-T150%20Pratylenchus%20pratensis.zip
Occurrence,T155,,,None,T155,None,None,None,None,"<a href=/taxonomy/term/10649"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus pratensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/702"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T155%20Pratylenchus%20pratensis.zip,./Output/048-T155%20Pratylenchus%20pratensis.zip
